行政區,門牌,社區,交易日期,總價_萬元,單價_萬元每坪,總面積_坪,主建物佔比_pct,屋齡,樓別樓高_原始,交易標的_原始,建物格局_原始,緯度,經度,樓別,樓高,樓比,房數,廳數,衛數,含土地,含建物,含車位,交易季,屋齡分組,交易年月,dist_HSR,dist_min_超商,cnt_500m_超商,cnt_1km_超商,dist_avg_top3_超商,dist_avg_top5_超商,dist_min_學校,cnt_500m_學校,cnt_1km_學校,dist_avg_top3_學校,dist_avg_top5_學校,dist_min_捷運站,cnt_500m_捷運站,cnt_1km_捷運站,dist_avg_top3_捷運站,dist_avg_top5_捷運站,dist_min_早餐店,cnt_500m_早餐店,cnt_1km_早餐店,dist_avg_top3_早餐店,dist_avg_top5_早餐店,dist_min_咖啡店,cnt_500m_咖啡店,cnt_1km_咖啡店,dist_avg_top3_咖啡店,dist_avg_top5_咖啡店,dist_min_超市,cnt_500m_超市,cnt_1km_超市,dist_avg_top3_超市,dist_avg_top5_超市,dist_min_藥妝店,cnt_500m_藥妝店,cnt_1km_藥妝店,dist_avg_top3_藥妝店,dist_avg_top5_藥妝店,dist_min_速食店,cnt_500m_速食店,cnt_1km_速食店,dist_avg_top3_速食店,dist_avg_top5_速食店,dist_min_商圈,cnt_500m_商圈,cnt_1km_商圈,dist_avg_top3_商圈,dist_avg_top5_商圈,dist_min_捷運,cnt_500m_捷運,cnt_1km_捷運,dist_avg_top3_捷運,dist_avg_top5_捷運,dist_min_咖啡廳,cnt_500m_咖啡廳,cnt_1km_咖啡廳,dist_avg_top3_咖啡廳,dist_avg_top5_咖啡廳,房價指數,原始列號
板橋,板橋區華江一路１１７號十四樓之３,帝國花園廣場,2/21/2026,2202,73.23,35.75,59.68,2,十四層/十九層,土1 建1車1,3房2廳1衛,25.035037,121.473952,14,19,0.736842105,3,2,1,1,1,1,2026Q1,0-5,2026-02,2494.468899,47.76954064,8,34,131.9701446,227.2775465,320.5755039,1,3,645.3310887,902.2225074,634.0263954,0,1,1067.276623,1572.669363,72.47480087,2,4,345.6695059,620.1547391,456.5418139,1,4,617.4647046,829.0813212,469.8439911,1,4,562.5295801,710.668887,536.5761441,0,5,596.1542857,623.4384518,605.2324992,0,2,1003.320356,1354.600712,1516.968416,0,0,1861.559423,2118.335258,,,,,,,,,,,161.63,11
板橋,板橋區莊崑路６７號十一樓,華盛頓,2/14/2026,1980,44.7,44.29,56.38,7,十一層/十五層,土1 建1車1,3房2廳2衛,24.999098,121.431879,11,15,0.733333333,3,2,2,1,1,1,2026Q1,6月10日,2026-02,3696.568541,576.5490892,0,7,621.4488384,677.2455482,327.4518406,1,1,897.7216906,1217.740359,2311.430244,0,0,2937.741742,3405.559309,930.8688,0,1,1558.277432,1834.858484,1531.617364,0,0,1908.790824,2012.5453,786.3858282,0,3,847.2230685,1096.67394,1478.184764,0,0,1851.007248,2020.556433,1699.907973,0,0,2361.960664,2672.376699,2382.593576,0,0,2805.907366,3062.995403,,,,,,,,,,,161.63,12
板橋,板橋區長安街３３１巷１６號,nan,2/14/2026,2036,71.6,28.43,100,51,"一層,騎樓/四層",土1 建1車0,1房1廳1衛,25.012471,121.474223,,4,,1,1,1,1,1,0,2026Q1,30+,2026-02,1000.699875,63.28146722,16,49,116.4520215,162.6241158,403.9808062,2,6,501.0368987,619.113649,288.6515078,1,2,792.3323634,1088.873302,214.1437458,1,3,539.6743657,771.8293769,152.1940856,1,6,522.660018,614.0943971,792.1315431,0,2,918.1379446,1027.288394,643.6593797,0,4,689.4896835,765.4439362,652.0681772,0,3,690.7565673,880.2240129,751.2459658,0,1,944.8093572,1020.933038,,,,,,,,,,,161.63,13
板橋,板橋區雨農路２７巷２號三樓之一,陽明凱旋,2/14/2026,2516,51.97,52.73,59.5,29,三層/十八層,土1 建1車1,4房2廳2衛,25.023999,121.461252,3,18,0.166666667,4,2,2,1,1,1,2026Q1,21-30,2026-02,1126.723499,56.88272801,22,82,70.50258491,109.2301203,266.7613599,3,7,289.3709921,516.1161809,613.7206956,0,2,781.0589461,942.8806242,324.1956889,4,8,389.5496685,441.8470311,58.23255388,1,6,411.9303486,500.7321157,0,3,10,173.9564183,356.331383,65.38127554,2,8,392.4400905,500.1894058,62.45173777,1,2,568.3151855,816.0993328,484.4114867,1,2,775.0571298,940.1444994,,,,,,,,,,,161.63,14
板橋,板橋區實踐路９３巷４３弄１７號六樓,極上學,2/12/2026,1740,68.75,27.42,56.22,11,六層/十二層,土1 建1車1,2房2廳1衛,25.006022,121.465926,6,12,0.5,2,2,1,1,1,1,2026Q1,11月20日,2026-02,931.9499428,176.3222223,12,57,214.2740689,241.5016464,88.93152317,3,6,310.1113216,454.2593386,761.8279789,0,2,919.518316,1027.043854,496.4414025,1,7,589.9500816,673.0907738,545.157354,0,14,556.7469712,589.6909261,338.9228064,2,5,477.0174707,576.9137434,557.142488,0,12,585.0159207,613.6865819,529.0215871,0,6,629.6165919,726.9929094,557.142488,0,7,635.1135855,712.4312534,,,,,,,,,,,161.63,15
板橋,板橋區大智街７１巷７弄１２號四樓,nan,2/12/2026,1450,55.87,25.95,86.15,51,四層/四層,土1 建1車0,4房2廳2衛,25.01434,121.453423,4,4,1,4,2,2,1,1,0,2026Q1,30+,2026-02,1116.182357,162.494101,10,43,179.9219535,233.5033205,547.0211597,0,5,561.9501259,619.4564543,872.0451456,0,1,1017.974328,1259.006237,187.6957887,2,5,436.5951977,623.5484449,633.2498012,0,3,837.9606447,915.2709961,346.3240301,1,7,560.4531617,654.3949826,529.2084081,0,5,783.5271503,850.3975286,713.7260333,0,3,851.4754754,930.3793015,673.2126532,0,4,810.0444147,887.438408,,,,,,,,,,,161.63,16
板橋,板橋區大漢街５３號六樓,江翠Park,2/11/2026,1593,70.08,28.93,59.39,6,六層/十五層,土2 建1車1,1房2廳1衛,25.031664,121.461264,6,15,0.4,1,2,1,2,1,1,2026Q1,6月10日,2026-02,1957.796566,108.4241702,14,43,144.0969566,169.0514602,580.9577929,0,3,715.1048523,860.6653516,848.7159598,0,1,1023.753978,1372.556701,528.7169685,0,3,684.4425344,863.6200198,833.1449235,0,1,1011.174439,1094.623213,184.5595405,1,6,509.933483,651.7362996,465.2461593,1,2,785.4537651,931.5077077,834.1392806,0,1,1005.852549,1231.084277,372.2410445,1,1,1202.17257,1523.992784,,,,,,,,,,,161.63,17
板橋,板橋區漢生東路６３巷３９號二樓,nan,2/11/2026,1200,55.86,21.48,96.04,48,二層/四層,土1 建1車0,3房2廳1衛,25.017547,121.467108,2,4,0.5,3,2,1,1,1,0,2026Q1,30+,2026-02,446.2912259,138.3147875,23,82,141.6674103,166.2266409,118.572736,1,5,588.051763,743.6277758,330.7613115,1,5,490.3979006,631.4875865,287.8866613,1,8,479.1701554,562.9407792,245.2629641,9,17,328.6457965,380.651321,508.1863796,0,9,625.4215317,721.0603342,410.844311,7,13,430.5640122,449.0965484,440.4238628,2,5,500.3112396,669.624413,440.4238628,4,6,464.7381894,531.5023003,,,,,,,,,,,161.63,18
板橋,板橋區忠孝路４８巷３６之３號三樓,風和,2/11/2026,2260,60.36,37.44,69.83,21,三層/七層,土1 建1車0,3房2廳2衛,25.000319,121.460752,3,7,0.428571429,3,2,2,1,1,0,2026Q1,21-30,2026-02,1600.161893,169.6494547,14,52,190.8241938,215.4463593,302.8411745,3,7,375.8528595,462.3764571,642.0221064,0,2,1039.619839,1361.581935,202.1735013,2,5,363.2205137,523.4519554,204.4051849,3,10,315.2285977,455.8541406,295.2285373,1,4,536.3503579,758.9846212,212.1954325,3,11,387.0629088,576.4402698,415.2710838,1,2,766.9957907,915.8126051,914.6030543,0,2,1009.920274,1119.809341,,,,,,,,,,,161.63,19
板橋,板橋區四川路一段６７號六樓之１７,府中晶品,2/11/2026,1150,71.37,16.11,51.76,12,六層/二十三層,土1 建1車0,1房1廳1衛,25.006112,121.460067,6,23,0.260869565,1,1,1,1,1,0,2026Q1,11月20日,2026-02,1014.445216,41.05598919,26,56,97.7625893,121.1531921,210.3738898,2,8,422.821288,524.1913978,263.3641996,1,3,655.6198229,931.646432,128.1911417,3,7,279.1428942,452.832448,126.2836769,3,9,273.0064804,375.3769624,162.6121863,1,6,464.5770787,561.5713385,240.6268552,5,7,245.9120447,311.3013998,227.6818429,3,5,352.3580989,449.6707686,274.8351114,2,5,423.9110004,544.2424622,,,,,,,,,,,161.63,20
